coefficient_name,value,constrain
joint_tnc_shared_ASC_auto_sufficient_school,-13.20499992,T
local_bus_ASC_school,11.59439468383789,T
walk_light_rail_ASC_school,-25.31733894,T
drive_light_rail_ASC_school,-3.568199635,T
walk_ferry_ASC_school,-6.790782452,T
drive_ferry_ASC_school,-3.840853691,T
express_bus_ASC_school,-18.88273239,T
heavy_rail_ASC_school,-19.13663483,T
commuter_rail_ASC_school,-25.26385117,T
walk_transit_CBD_ASC_school,-9.2158041,T
drive_transit_CBD_ASC_school,-9.383680344,T
coef_topology_walk_multiplier_othdiscr,15,T
coef_topology_bike_multiplier_othdiscr,20,T
coef_topology_trn_multiplier_othdiscr,2.200000047683716,T
coef_age16p_sr_multiplier_othdiscr,-3.275640249,T
taxi_ASC_no_auto_othdiscr,-11.68499184,T
taxi_ASC_auto_deficient_othdiscr,-13.84942913,T
taxi_ASC_auto_sufficient_othdiscr,-2.235582113,T
tnc_single_ASC_no_auto_othdiscr,-11.89528847,T
tnc_single_ASC_auto_deficient_othdiscr,-13.27637959,T
tnc_single_ASC_auto_sufficient_othdiscr,-1.382754803,T
tnc_shared_ASC_no_auto_othdiscr,-12.39168835,T
tnc_shared_ASC_auto_deficient_othdiscr,-11.07069588,T
tnc_shared_ASC_auto_sufficient_othdiscr,-2.627673388,T
joint_walk_ASC_no_auto_othdiscr,-11.70575714,T
joint_walk_ASC_auto_deficient_othdiscr,-19.79304123,T
joint_walk_ASC_auto_sufficient_othdiscr,-33.78726196,T
joint_bike_ASC_no_auto_othdiscr,-13.40789318,T
joint_bike_ASC_auto_deficient_othdiscr,-22.02599144,T
joint_bike_ASC_auto_sufficient_othdiscr,-24.28221321,T
joint_sr3p_ASC_no_auto_othdiscr,24.132951736450195,T
joint_sr3p_ASC_auto_deficient_othdiscr,17.916812896728516,T
joint_sr3p_ASC_auto_sufficient_othdiscr,29.411815643310547,T
joint_walk_transit_ASC_no_auto_othdiscr,-14.35704136,T
joint_walk_transit_ASC_auto_deficient_othdiscr,-24.36103439,T
joint_walk_transit_ASC_auto_sufficient_othdiscr,-30.19796753,T
joint_drive_transit_ASC_auto_deficient_othdiscr,-23.24106598,T
joint_drive_transit_ASC_auto_sufficient_othdiscr,-37.17621613,T
joint_taxi_ASC_no_auto_othdiscr,-11.2577486,T
joint_taxi_ASC_auto_deficient_othdiscr,-18.19539261,T
